Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza pedalata media,Cadenza pedalata max,Velocità media,Velocità max,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Tempo riposo,Training Stress Score®,Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Ripetizioni totali,Serie totali,Tempo di immersione,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Frequenza respiratoria media,Frequenza respiratoria minima,Frequenza respiratoria massima,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Ellittica,2023-01-27 19:28:00,false,"Ellittica","13.52","514","01:05:03","111","124","2.0","127","167","12.5","--","--","--","0.00","0.0","0.0","0","--","--","0.0","115","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","01:05:02.77.5","1","30.0","28","20","37","00:00:00","01:05:03","--","--"
Trail Running,2023-01-26 18:31:17,false,"Castel Mella Trail Running","22.08","1,546","02:02:33","133","143","4.3","164","178","5:33","4:35","51","48","1.08","9.1","10.0","275","49.1% S / 50.9% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","No","00:19.96.8","23","26.0","33","19","47","02:02:23","02:02:33","101","125"
Ciclismo indoor,2023-01-25 15:03:52,false,"Ciclismo indoor","23.45","344","01:05:02","91","105","0.9","--","--","21.6","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","01:05:02.17.4","1","32.0","28","20","33","00:00:00","01:05:02","--","--"
Ellittica,2023-01-25 13:55:00,false,"Ellittica","13.69","514","01:05:13","110","121","2.0","121","168","12.6","--","--","--","0.00","0.0","0.0","0","--","--","0.0","110","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:05:12.65","1","30.0","31","19","42","00:00:00","01:05:13","--","--"
Trail Running,2023-01-24 20:44:02,false,"Castel Mella Trail Running","18.88","1,333","01:40:02","141","162","4.8","167","193","5:18","3:50","2","--","1.13","8.7","10.0","266","49.8% S / 50.2% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","04:38.77.8","19","27.0","34","20","47","01:39:08","01:40:24","108","111"
Cardio,2023-01-23 16:55:46,false,"Cardio","0.00","330","01:04:24","89","123","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:04:24.07.2","1","31.0","23","16","34","00:00:00","01:04:24","--","--"
Ellittica,2023-01-23 15:45:00,false,"Ellittica","13.14","528","01:05:05","112","124","2.2","120","167","12.1","--","--","--","0.00","0.0","0.0","0","--","--","0.0","124","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:05:04.58.1","1","31.0","31","16","43","00:00:00","01:05:05","--","--"
Trail Running,2023-01-21 08:19:00,false,"Brescia Trail Running","41.04","3,245","06:02:04","128","155","4.9","139","235","8:49","4:48","1,690","1,382","0.77","11.7","8.7","365","50.0% S / 50.0% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","8.0","0:00","No","00:12.60.7","36","21.0","32","20","53","05:21:22","05:26:46","134","872"
Nuoto in piscina,2023-01-20 20:17:20,false,"Nuoto in piscina","2,525","505","01:08:21","123","141","2.7","--","--","2:42","2:03","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","1833","59","27","0","--","0:00","0.0","0:00","No","01:08:20.86.1","1","0.0","--","--","--","01:08:21","01:09:00","--","--"
Ciclismo indoor,2023-01-20 19:13:37,false,"Ciclismo indoor","20.51","337","00:55:03","99","108","1.1","--","--","22.4","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","55:03.20.9","1","32.0","27","17","34","00:00:00","00:55:03","--","--"
Ellittica,2023-01-20 18:07:00,false,"Ellittica","13.99","566","01:05:04","115","126","2.2","124","173","12.9","--","--","--","0.00","0.0","0.0","0","--","--","0.0","117","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:05:04.03.5","1","30.0","32","22","42","00:00:00","01:05:04","--","--"
Trail Running,2023-01-19 17:04:06,false,"Castel Mella Trail Running","22.63","1,594","02:02:22","138","156","4.7","167","184","5:24","4:09","49","47","1.11","8.8","10.0","272","49.3% S / 50.7% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","No","03:07.81.1","23","27.0","31","19","42","02:02:00","02:02:22","101","124"
Ciclismo indoor,2023-01-18 18:05:11,false,"Ciclismo indoor","17.85","316","00:50:03","100","113","1.0","--","--","21.4","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","50:03.33","1","33.0","26","17","36","00:00:00","00:50:03","--","--"
Cardio,2023-01-18 17:17:38,false,"Cardio","0.00","265","00:46:10","96","129","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","46:10.04.1","1","30.0","22","14","30","00:00:00","00:46:10","--","--"
Ellittica,2023-01-18 16:08:00,false,"Ellittica","13.62","672","01:05:03","124","136","2.8","106","173","12.6","--","--","--","0.00","0.0","0.0","0","--","--","0.0","133","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:05:02.62.9","1","31.0","29","17","41","00:00:00","01:05:03","--","--"
Cardio,2023-01-16 12:35:50,false,"Cardio","0.00","391","01:10:24","94","130","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:10:23.81.9","1","30.0","23","16","34","00:00:00","01:10:24","--","--"
Ellittica,2023-01-16 11:58:00,false,"Ellittica","7.58","354","00:35:04","120","134","2.3","116","171","13.0","--","--","--","0.00","0.0","0.0","0","--","--","0.0","150","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","35:03.57.6","1","30.0","29","18","37","00:00:00","00:35:04","--","--"
Trail Running,2023-01-14 07:58:37,false,"Iseo Trail Running","23.71","2,383","04:25:53","125","149","4.3","125","209","11:13","5:13","1,667","1,660","0.72","14.0","9.5","412","49.8% S / 50.2% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","No","05:34.44.2","24","22.0","31","15","50","04:10:15","04:25:53","550","1,377"
Trail Running,2023-01-13 15:10:43,false,"Castel Mella Trail Running","18.79","1,324","01:50:02","125","140","3.8","166","176","5:51","4:57","102","101","1.03","9.5","10.0","278","49.1% S / 50.9% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","04:31.81.1","19","29.0","39","23","47","01:49:53","01:50:02","92","128"
